surname,name,birth,city birth,death,city death,country,gender,main technique,referenced in,longitude,latitude
Sabbagh,Georges,1877,Alexandria,1951,Paris,Egypt,male,painting,,,
Nagy,Mohamed,1888,Alexandria,1956,Alexandria,Egypt,male,painting,,,
Sabri,Ahmed,1889,Cairo,1955,Cairo,Egypt,male,painting,,,
Mokhtar,Mahmoud,1891,Tumbara,1934,Cairo,Egypt,male,,,,
Ayad,Ragheb,1892,Cairo,1982,Cairo,Egypt,male,,,,
Said,Mahmoud,1897,Alexandria,1964,Alexandria,Egypt,male,,,,
Gemayel,Cesar,1898,Ain Al Touffana,1958,Beirut,Lebanon,male,,,,
Zeid,Fahrelnissa,1901,Istambul,1991,Amman,Turkey,female,,,,
Farroukh,Mustafa,1901,Beirut,1957,Beirut,Lebanon,male,,,,
Onsi,Omar,1901,Beirut,1969,Beirut,Lebanon,male,,,,
Wanly,Adham,1908,Alexandria,1959,Alexandria,Egypt,male,,,,
Omar,Madiha,1908,Aleppo,2005,New York,Syria/Iraq,female,,,,
Wanly,Seif,1909,Alexandria,1979,Alexandria,Egypt,male,,,,
Younan,Ramses,1913,Minieh,1966,Cairo,Egypt,male,,,,
Hassan ,Faik,1914,Baghdad,1992,Baghdad,Iraq,male,,,,
Droubi,Hafez Al,1914,Baghdad,1991,Baghdad,Iraq,male,,,,
Douaihy,Saliba,1915,Ehden,1994,Paris,Lebanon,male,,,,
Choucair,Saloua Raouda,1916,Beirut,2017,Beirut,Lebanon,female,,,,
Pezeshknia,Houshang,1917,Tehran,1972,Tehran,Iran,male,,,,
Wehbe,Rashid,1917,Beirut,1993,Beirut,Lebanon,male,,,,
Abdalla,Hamed,1917,Cairo,1985,Paris,Egypt,male,,,,
Owais,Hamed,1919,Beni Soueif,2011,Cairo,Egypt,male,,,,
Salim,Jawad,1919,Mosul,1961,Baghdad,Iraq,male,,,,
Halim ,Tahia,1919,Cairo,2003,Cairo,Egypt,female,,,,
Chaura,Naseer,1920,Damascus,1992,Damascus,Syria,male,,,,
Moudarres,Fateh Al,1922,Aleppo,1999,Aleppo,Syria,male,,,,
Hammad,Mahmoud,1923,Damascus,1988,Damascus,Syria,male,,,,
Nada,Hamad,1924,Cairo,1990,Cairo,Egypt,male,,,,
Eflaotoun,Inji,1924,Cairo,1989,Cairo,Egypt,female,,,,
Sheikly,Ismail Al,1924,Baghdad,2002,Baghdad,Iraq,male,,,,
Hammoudi,Jamil,1924,Baghdad,2003,Baghdad,Iraq,male,,,,
FarmanFarmaian,Monir,1924,Qazvin,2019,Tehran,Iran,female,,,,
Gazzar,Abdel Hady El,1925,Alexandria,1966,Cairo,Egypt,male,,,,
Adnan,Etel,1925,Beirut,2021,Paris,Lebanon,female,,,,
Sirry,Gazbia,1925,Cairo,2021,Cairo,Egypt,female,,,,
Grigorian,Marcos,1925,Koprotkin,2007,Yerevan,Iran/Armenia,male,,,,
Waqialla,Osman,1925,Rufa'a,2007,Sudan,Sudan,male,,,,
Said,Shaker Hassan Al,1925,Samawa,2004,Baghdad,Iraq,male,,,,
Guiragossian,Paul,1926,Jerusalem,1993,Beirut,Lebanon,male,,,,
Rafi,Samir,1926,Cairo,2004,Cairo,Egypt,male,,,,
Abboud,Shafic,1926,Bikfaiya,2004,Paris,Lebanon,male,,,,
Salim,Naziha,1927,Istambul,2008,Baghdad,Iraq,female,,,,
Rayess,Aref,1928,Aley,2005,Beirut,Lebanon,male,,,,
Issiakeh,Mohammed,1928,Douar Djennad,1985,Algiers,Algeria,male,,,,
Sepehri,Sohrab,1928,Kashan,1980,Tehran,Iran,male,,,,
Yahya,Abdul Jabbar Al,1929,Zubair,2014,na,Iraq/Saudi Arabia,male,,,,
Henein,Adam,1929,Cairo,2020,Cairo,Egypt,male,,,,
Mohasses,Bahman,1930,Rasht,2010,Tehran,Iran,male,,,,
Salahi,Ibrahim,1930,Omdurman,--,--,Sudan,male,,,,
Shammout,Ismail,1930,Lydda,2019,Amman,Palestinian,male,,,,
Benanteur,Abdallah,1931,Mostagenem,2017,Ivry Sur Seine,Algeria,male,,,,
Baya,Fatma Haddad,1931,El Kiffan,1998,Bilda,Algeria,female,,,,
Tabatabai,Jazeh,1931,Tehran,2008,Tehran,Iran,male,,,,
Nagdi,Omar El,1931,Cairo,2019,Cairo,Egypt,male,,,,
Bacha,Amin El,1932,Beirut,2019,Beirut,Lebanon,male,,,,
Hayder,Kadim,1932,Baghdad,1985,Baghdad,Iraq,male,,,,
Belkhodja,Nejib,1933,Tunis,2007,Tunis,Tunisia,male,,,,
Cherkaoui,Ahmed,1934,Boujad,1967,Casablanca,Morocco,male,,,,
Belkahia,Farid,1934,Marrakech,2014,Marrakech,Morocco,male,,,,
Kayyali,Louay,1934,Aleppo,1978,Harasta,Syria,male,,,,
Kassab Bashi,Marwan,1934,Damascus,2016,Berlin,Syria,male,,,,
Ovissi,Nasser,1934,Tehran,--,--,Iran,male,,,,
Ghandriz,Mansour,1935,Tabriz,1965,,Iran,male,,,,
Arabshashi,Massoud,1935,Tehran,2019,Tehran,Iran,male,,,,
Shaker,Sa'ad,1935,Baghdad,2005,--,Iraq,male,,,,
Afnan,Maliheh,1935,Haifa,2016,London,Palestinian,female,,,,
Akhal,Taman Al,1935,Jaifa,--,--,Palestine,female,,,,
Khalil,Mohammed Omar,1936,Burri,--,--,Sudan,male,,,,
Halaby,Samia,1936,Jerusalem,--,--,Palestinian,female,,,,
Zenderoudi,Charles-Hossein,1937,Tehran,--,--,Iran,male,,,,
Pilaram,Faramarz,1937,Tehran,1982,Tehran,Iran,male,,,,
Mahdaoui,Nja,1937,Tunis,--,--,Tunisia,male,,,,
Tanavoli,Parviz,1937,Tehran,--,--,Iran,male,,,,
Kaabi,Saadi Al,1937,Najaf,--,--,Saudi Arabia,male,,,,
Ajali,Ali,1937,Miani,--,--,Iran,male,,,,
Hosny,Farouk,1938,Alexandria,--,--,Egypt,male,,,,
Madi,Hussein,1938,Cheba'a,--,--,Lebanon,male,,,,
Fattah,Ismail,1938,Basra,--,--,Iraq,male,,,,
Said,Issam El,1938,Baghdad,1988,Newcastle,Iraq,male,,,,
Moity,Mostafa Abdel,1938,Alexandria,--,--,Egypt,male,,,,
Naba'a,Nazir,1938,Damascus,--,--,Syria,male,,,,
Tabrizi,Sadegh,1938,Tehran,--,--,Iran,male,,,,
Azzawi,Dia Al,1939,Baghdad,--,--,Iraq,male,,,,
Ibrahim,Kamala,1939,Omdurman,--,--,Sudan,male,,,,
Saleem ,Mohammad Al,1939,Marat,1996,Riyadh,Saudi Arabia,male,,,,
Ehsai,Mohammed ,1939,Tehran,--,--,Iran,male,,,,
Jumai,Saleh Al,1939,Siwaira,--,--,Iraq,male,,,,
Hashemi,Wijdan Ali Al,1939,Amman,--,--,Jordan,male,,,,
Kiarostami,Abbas,1940,Tehran,--,--,Iran,male,,,,
Shawa,Laila,1940,Gaza,--,--,Palestine,male,,,,
Nasiri,Rafa Al,1940,Tikrit,--,--,Iraq,male,,,,
Fattah,Lisa,1941,Germany,1992,,Germany,male,,,,
Boullata,Kamal,1942,Jerusalem,--,--,Palestine,male,,,,
Taha,Mahmoud,1942,Jaffa,--,--,Palestine,male,,,,
Nodjoumi,Nicky,1942,Kermanshan,--,--,Iran,male,,,,
Attar,Suad Al,1942,Baghdad,--,--,Iraq,male,,,,
Moustafa,Ahmed,1943,Alexandria,,,Egypt,male,,,,
Jabri,Ali,1943,Jerusalem,,,Palestine,male,,,,
Kacimi,Mohammed,1943,Meknes,,,Morocco,male,,,,
Nusseibeh,Mounira,1943,Jerusalem,,,Palestine,male,,,,
Saleh,Sami Mohammed Al,1943,Kuwait City,,,Kuwait,male,,,,
Talib,Ali,1944,Basra,,,Iraq,male,,,,
Jalali,Bahman,1944,Tehran,,,Iran,male,,,,
Lashai,Farideh,1944,Rasht,2013,,Iran,male,,,,
Massoudy,Hassan,1944,Najaf,,,Iraq,male,,,,
Ermes,Ali Omar,1945,Tripoli,,,Lybia,male,,,,
Shishegaran,Koorosh,1945,Ghazvin,,,Iran,male,,,,
Saudi,Mona,1945,Amman,,,Jordan,male,,,,
Tabbaa,Samer,1945,Tair,,,Jordan,male,,,,
Sayegh,Samir Al,1945,Lebanon,,,Lebanon,male,,,,
Honda,Kouichi Fouad,1946,Tokyo,,,Japan,male,,,,
Ben Bella,Mahjoub,1946,Maghinia,,,Algeria,male,,,,
Hajizadeh,Ghasem,1947,Lahijan,,,Iran,male,,,,
Koraichi,Rachid,1947,Ain Beida,,,Algeria,male,,,,
Smoudi,Abdul Latif Al,1948,Damascus,,,Syria,male,,,,
Futaih,Fuad Al,1948,Hoggeriyah,,,Yemen,male,,,,
Sabban,Taha Al,1948,Mecca,,,Saudi Arabia,male,,,,
Alwan,Jaber,1948,Babylon,--,--,Iraq,male,,,,
Triki,Gouider,1949,Nabeul,,,Tunisia,male,,,,
Nahas,Nabil,1949,Beirut,,,Lebanon,male,,,,
Mahmoud,Rabha,1949,Oman,,,Oman,male,,,,
Bellamine,Fouad,1950,Fes,,,Morocco,male,,,,
Raes,Abdul Qader Al,1951,Kuwait City,--,--,UAE,male,,,,
Avedissian,Chant,1951,Cairo,2018,Cairo,Egypt,male,,,,
Tibouchi,Hamid,1951,Tibane,,,Algeria,male,,,,
Sharif,Hassan,1951,Dubai,2016,Dubai,UAE,male,,,,
Slimane,Khaled Ben,1951,Sousse,,,Tunisia,male,,,,
Siwi,Adel,1952,Beheira,,,Egypt,male,,,,
Espahbod,Alireza,1952,Tehran,2007,,Iran,male,,,,
Tabbaa,Dodi,1952,Quetta,,,Pakistan,male,,,,
Elkoury,Fouad,1952,Paris,,,France,male,,,,
Hatoum,Mona,1952,Beirut,,,Lebanon,male,,,,
Shaarani,Mouneer Al,1952,Salamiyah,,,Syria,male,,,,
Derakshani,Reza,1952,Sangsar,,,Iran,male,,,,
Dalloul,Ziad,1953,Soueida,,,Syria,male,,,,
Abla,Mohamed,1953,Belkas,--,--,Egypt,male,,,,
Sharif,Abdul Rahim,1954,Manama,,,Bahrain,male,,,,
Siti,Walid,1954,Duhok,,,Iraq,male,,,,
Nazar,Ahmad Amin,1955,Abadan,,,Iran,male,,,,
Nayini,Malekeh,1955,Tehran,,,Iran,male,,,,
Daham,Sameer Al,1955,Riyadh,,,Saudi Arabia,male,,,,
Houshiary,Shirazeh,1955,Shiraz,,,Iran,,,,,
Ahmad,Yousef,1955,Doha,--,--,Qatar,male,,,,
Hassan,Ali ,1956,Doha,,,Qatar,,,,,
Samra,Faisal,1956,Bahrain,,,Bahrain,,,,,
Ali,Mustafa,1956,Latakia,--,--,Syria,male,,,,
Tatari,Aneh Mohammad,1957,Gonbad Kavoos,,,,,,,,
Hajailan,Fahad Al,1957,Riyadh,,,Saudi Arabia,,,,,
Khosrojerdi,Hossein,1957,Tehran,,,Iran,,,,,
Neshat,Nisrin,1957,Qazvin,,,Iran,,,,,
Moualla,Ahmad,1958,Syria,,,Syria,,,,,
Mal-Allah,Hanaa,1958,Thee Qar,,,Iraq,,,,,
Sabour,Nizar,1958,Latakia,,,Syria,,,,,
Tatah,Djamel,1959,Saint-Chamond,,,France,,,,,
Jinchi,Pouran,1959,Mashhad,,,Iran,,,,,
Ameri,Mohammed Al,1959,Jordan,,,Jordan,,,,,
Abdelke,Youssef,1959,Qamishli,--,--,Syria,male,,,,
Risan,Kareem,1960,Baghdad,,,Iraq,,,,,
Mohebali,Mehrdad,1960,Tehran,,,Iran,,,,,
Sangtarash,Mir Yaghoub,1960,Tabriz,,,Iran,,,,,
Ali,Himat Mohammed,1960,Kirkuk,--,--,Iraq,,,,,
Ajami,Hamid,1960,Tehran,--,--,Iran,male,,,,
Rabah,Khalil,1961,Jerusalem,,,Israel,,,,,
Ozcay,Mehmed,1961,Trebizond,,,Turkey,,,,,
Jabbari,Sedaghat,1961,Tehran,,,Iran,,,,,
Obaidi,Mahmoud Al,1962,Baghdad,,,Iraq,,,,,
Shammarey,Mohammad Al,1962,Baghdad,,,Iraq,,,,,
Debs,Nada,1962,Beirut,,,Lebanon,,,,,
Kufi,Nedim,1962,Baghdad,,,Iraq,,,,,
Hefuna,Susan,1962,Germany,,,Germany,,,,,
Soliman,Abdulrahman Al,1963,Al Ahsa,,,Saudi Arabia,,,,,
Moshiri,Farhad,1963,Shiraz,,,Iran,,,,,
Ghazali,Hakim,1963,Casablanca,,,Morocco,,,,,
Hafez,Khaled,1963,Cairo,,,Egypt,,,,,
Hassanzadeh,Khosrow,1963,Tehran,,,Iran,,,,,
Yahya ,Nazar,1963,Baghdad,,,Iraq,,,,,
Amer,Ghada,1963,Cairo,--,--,Egypt,,,,,
Ghaeb,Ghassan,1964,Baghdad,,,Iraq,,,,,
Rechmaoui,Marwan,1964,Beirut,,,Lebanon,,,,,
Bahrani,Ahmed Al,1965,Tuarej,--,--,Iraq,,,,,
Tirafkan,Sadegh,1965,Karbala,2013,Karbala,Iraq,,,,,
Aoun,Youssef,1965,Beirut,,,Lebanon,,,,,
Zaatari,Akram,1966,Saida,,,,,,,,
Daydban,Ayman Yossri,1966,Ramallah,--,--,Palestine,,,,,
Ghezelayagh,Bita,1966,Florence,--,--,Italy,,,,,
Yahiaoui,Kamel,1966,Algiers,--,--,Algeria,,,,,
Yacoub,Paola,1966,Beirut,--,--,Lebanon,,,,,
Ani,Jannane Al,1966,Kirkuk,--,--,Iraq,,,,,
Mansour,Nassar,1967,Amman,--,--,Jordan,,,,,
Raad,Walid,1967,Chbanie,--,--,Lebanon,,,,,
Hajj Noor Deen Mi,Guanjiang,1968,Shangdong,--,--,China,,,,,
Jurayj,John,1968,Evanston,--,--,United States,,,,,
Faisal,Reem Al,1968,Jeddah,--,--,Saudi Arabia,,,,,
Chakar,Tony,1968,Beirut,--,--,Lebanon,,,,,
Shafie,Hadieh,1969,Tehran,--,--,Iran,,,,,
Hadijthomas,Joana,1969,Beirut,--,--,Lebanon,,,,,
Joreige,Khalil,1969,Beirut,--,--,Lebanon,,,,,
Jeraibi,Mahdi Al,1969,Mecca,--,--,Saudi Arabia,,,,,
Satrapi,Marjane,1969,Rasht,--,--,Iran,,,,,
Attia,Kader,1970,Saint Denis,--,--,France/Algeria,,,,,
Fatmi,Mounir,1970,Tangiers,--,--,Morocco,,,,,
Benbouta,Nadia,1970,Algiers,--,--,Algeria,,,,,
Jassim,Zaman,1971,Al Khobar,,,Saudi Arabia,,,,,
Ahrarnia,Farhad,1971,Shiraz,--,--,Iran,,,,,
Fathi,Golnaz,1972,Tehran,,,Iran,,,,,
Nabil,Youssef,1972,Cairo,--,--,Egypt,,,,,
Gharem,Abdulnasser,1973,Khamis Mushaif,--,--,Saudi Arabia,,,,,
Parla,Jose,1973,Miami,--,--,United States,,,,,
Aliabadi,Shirin,1973,Tehran,--,--,Iran,female,,,,
Adam,Sabhan,1973,Al Hasakah,--,--,Syria,male,,,,
Ghadirian,Shadi,1974,Tehran,--,--,Iran,,,,,
Dawood,Shezad,1974,London,--,--,United Kingdom,,,,,
Baalbaki,Ayman,1975,"Aadaysit Marjaayoun,",--,--,Lebanon,,,,,
Haerizadeh,Ramin,1975,Tehran,--,--,Iran,,,,,
Rahmoun,Younes,1975,Tetouan,--,--,Morocco,,,,,
Alsoudani,Ahmed,1975,Baghdad,--,--,Iraq,,,,,
Fassih,Hossein,1977,Tehran,--,--,Iran,,,,,
Bakhshi Mohakar,Mahmoud,1977,Tehran,--,--,Iran,,,,,
Bouabdellah,Zoulikha,1977,Moscow,--,--,Russia,,,,,
Moghadam,Hossein,1978,Tehran,--,--,Iran,,,,,
Baalbaki,Oussama,1978,Beirut,--,--,Lebanon,,,,,
Haerizadeh,Rokni,1978,Tehran,--,--,Iran,,,,,
Aseeri,Ahmed Mater Al Ziad,1979,Abha,--,--,Saudi Arabia,,,,,
Hashemi,Nargess,1979,Tehran,--,--,Iran,,,,,
Darghouth,Tagreed,1979,Saida,--,--,Lebanon,,,,,
Hourani,Wafa,1979,Hebron,--,--,Palestine,,,,,
Farhadian,Mehdi,1980,Tehran,--,--,Iran,,,,,
Zakerameli,Shantia,1980,Isfahan,--,--,Iran,,,,,
Masoumian,Saba,1982,Tehran,--,--,Iran,,,,,
Ramhani,Zakaria,1983,Tangiers,--,--,Morocco,,,,,
Haidar,Aya,1985,Beirut,--,--,Lebanon,,,,,
Tabrizian,Mitra,--,Tehran,--,--,Iran,female,,,,
Hejazi,Ola,--,Tripoli,--,--,--,female,,,,