city,name
Florence,Alberti
Mantua,Alberti
Mantua,Andrea Palladio
Venice,Andrea Palladio
Naples,Antonello de Messina
Venice,Antonello de Messina
Florence,Botticelli
Rome,Botticelli
Milan,Bramante
Rome,Bramante
Urbino,Bramante
Florence,Brunelleschi
Florence,Cimabue
Rome,Cimabue
Florence,Donatello
Padua,Donatello
Rome,Donatello
Siena,Duccio Buonisegna
Florence,Filippo Lippi
Padua,Filippo Lippi
Paolo Ucello,Florence
Siena,Florence
Siena,Giovanni Pisano
Florence,Fra Angelico
Venice,Gentile Bellini
Florence,Ghirlandaio
Venice,Giorgione
Florence,Giotto di Bondone
Padua,Giotto di Bondone
Venice,Giovanni Bellini
Venice,Giovanni Bellini
Venice,Jacopo Bassano
Venice,Jacopo Bellini
Padua,Jacopo Bellini
Florence,Leonardo
Rome,Leonardo
Milan,Leonardo
Florence,Mantegna
Mantua,Mantegna
Padua,Mantegna
Venice,Mantegna
Florence,Massaccio
Florence,Michelangelo
Rome,Michelangelo
Venice,Paolo Ucello
Florence,Perugino
Perugia,Perugino
Rome,Perugino
Florence,Piero della Francesca
Urbino,Piero della Francesca
Florence,Raphael
Rome,Raphael
Urbino,Raphael
Florence,Rome
Venice,Rome
Venice,Tintoretto
Venice,Titian
Verroccchio,Venice
Venice,Veronese
Florence,Verrocchio
Venice,Verrocchio